resource_const,action_class,action_const,superclass,auth,auth_effective,classification,http_method,blocking,route,file,line_start,line_end
VpsAdmin::API::Resources::Dataset::Snapshot,Index,VpsAdmin::API::Resources::Dataset::Snapshot::Index,HaveAPI::Actions::Default::Index,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dataset.rb,472,502
VpsAdmin::API::Resources::Dataset::Snapshot,Rollback,VpsAdmin::API::Resources::Dataset::Snapshot::Rollback,HaveAPI::Action,,True,owner_or_admin,post,True,{%{resource}_id}/rollback,api/lib/vpsadmin/api/resources/dataset.rb,609,674
VpsAdmin::API::Resources::Dataset::Snapshot,Show,VpsAdmin::API::Resources::Dataset::Snapshot::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dataset.rb,504,528
VpsAdmin::API::Resources::DatasetExpansion,Create,VpsAdmin::API::Resources::DatasetExpansion::Create,HaveAPI::Actions::Default::Create,,True,admin_only,,True,,api/lib/vpsadmin/api/resources/dataset_expansion.rb,82,129
VpsAdmin::API::Resources::DatasetExpansion,Index,VpsAdmin::API::Resources::DatasetExpansion::Index,HaveAPI::Actions::Default::Index,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dataset_expansion.rb,32,56
VpsAdmin::API::Resources::DatasetExpansion,RegisterExpanded,VpsAdmin::API::Resources::DatasetExpansion::RegisterExpanded,HaveAPI::Action,,True,admin_only,post,,register_expanded,api/lib/vpsadmin/api/resources/dataset_expansion.rb,154,201
VpsAdmin::API::Resources::DatasetExpansion,Show,VpsAdmin::API::Resources::DatasetExpansion::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dataset_expansion.rb,58,80
VpsAdmin::API::Resources::DatasetExpansion,Update,VpsAdmin::API::Resources::DatasetExpansion::Update,HaveAPI::Actions::Default::Update,,True,admin_only,,,,api/lib/vpsadmin/api/resources/dataset_expansion.rb,131,152
VpsAdmin::API::Resources::DatasetExpansion::History,Create,VpsAdmin::API::Resources::DatasetExpansion::History::Create,HaveAPI::Actions::Default::Create,,True,admin_only,,True,,api/lib/vpsadmin/api/resources/dataset_expansion.rb,273,306
VpsAdmin::API::Resources::DatasetExpansion::History,Index,VpsAdmin::API::Resources::DatasetExpansion::History::Index,HaveAPI::Actions::Default::Index,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dataset_expansion.rb,217,243
VpsAdmin::API::Resources::DatasetExpansion::History,Show,VpsAdmin::API::Resources::DatasetExpansion::History::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dataset_expansion.rb,245,271
VpsAdmin::API::Resources::DatasetPlan,Index,VpsAdmin::API::Resources::DatasetPlan::Index,HaveAPI::Actions::Default::Index,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dataset_plan.rb,19,33
VpsAdmin::API::Resources::DatasetPlan,Show,VpsAdmin::API::Resources::DatasetPlan::Show,HaveAPI::Actions::Default::Show,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dataset_plan.rb,35,49
VpsAdmin::API::Resources::Debug,ArrayTop,VpsAdmin::API::Resources::Debug::ArrayTop,HaveAPI::Action,,True,admin_only,,,,api/lib/vpsadmin/api/resources/debug.rb,82,125
VpsAdmin::API::Resources::Debug,HashTop,VpsAdmin::API::Resources::Debug::HashTop,HaveAPI::Action,,True,admin_only,,,,api/lib/vpsadmin/api/resources/debug.rb,37,80
VpsAdmin::API::Resources::Debug,ListObjectCounts,VpsAdmin::API::Resources::Debug::ListObjectCounts,HaveAPI::Action,,True,admin_only,,,,api/lib/vpsadmin/api/resources/debug.rb,7,35
VpsAdmin::API::Resources::DefaultObjectClusterResource,Create,VpsAdmin::API::Resources::DefaultObjectClusterResource::Create,HaveAPI::Actions::Default::Create,,True,admin_only,,,,api/lib/vpsadmin/api/resources/default_object_cluster_resource.rb,72,96
VpsAdmin::API::Resources::DefaultObjectClusterResource,Delete,VpsAdmin::API::Resources::DefaultObjectClusterResource::Delete,HaveAPI::Actions::Default::Delete,,True,admin_only,,,,api/lib/vpsadmin/api/resources/default_object_cluster_resource.rb,121,134
VpsAdmin::API::Resources::DefaultObjectClusterResource,Index,VpsAdmin::API::Resources::DefaultObjectClusterResource::Index,HaveAPI::Actions::Default::Index,,True,authenticated,,,,api/lib/vpsadmin/api/resources/default_object_cluster_resource.rb,18,50
VpsAdmin::API::Resources::DefaultObjectClusterResource,Show,VpsAdmin::API::Resources::DefaultObjectClusterResource::Show,HaveAPI::Actions::Default::Show,,True,authenticated,,,,api/lib/vpsadmin/api/resources/default_object_cluster_resource.rb,52,70
VpsAdmin::API::Resources::DefaultObjectClusterResource,Update,VpsAdmin::API::Resources::DefaultObjectClusterResource::Update,HaveAPI::Actions::Default::Update,,True,admin_only,,,,api/lib/vpsadmin/api/resources/default_object_cluster_resource.rb,98,119
VpsAdmin::API::Resources::DnsRecord,Create,VpsAdmin::API::Resources::DnsRecord::Create,HaveAPI::Actions::Default::Create,,True,authenticated,,True,,api/lib/vpsadmin/api/resources/dns_record.rb,85,128
VpsAdmin::API::Resources::DnsRecord,Delete,VpsAdmin::API::Resources::DnsRecord::Delete,HaveAPI::Actions::Default::Delete,,True,owner_or_admin,,True,,api/lib/vpsadmin/api/resources/dns_record.rb,169,195
VpsAdmin::API::Resources::DnsRecord,DynamicUpdate,VpsAdmin::API::Resources::DnsRecord::DynamicUpdate,HaveAPI::Action,False,False,public,get,True,dynamic_update/{access_token},api/lib/vpsadmin/api/resources/dns_record.rb,197,225
VpsAdmin::API::Resources::DnsRecord,Index,VpsAdmin::API::Resources::DnsRecord::Index,HaveAPI::Actions::Default::Index,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_record.rb,28,60
VpsAdmin::API::Resources::DnsRecord,Show,VpsAdmin::API::Resources::DnsRecord::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_record.rb,62,83
VpsAdmin::API::Resources::DnsRecord,Update,VpsAdmin::API::Resources::DnsRecord::Update,HaveAPI::Actions::Default::Update,,True,owner_or_admin,,True,,api/lib/vpsadmin/api/resources/dns_record.rb,130,167
VpsAdmin::API::Resources::DnsRecordLog,Index,VpsAdmin::API::Resources::DnsRecordLog::Index,HaveAPI::Actions::Default::Index,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_record_log.rb,21,60
VpsAdmin::API::Resources::DnsRecordLog,Show,VpsAdmin::API::Resources::DnsRecordLog::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_record_log.rb,62,83
VpsAdmin::API::Resources::DnsResolver,Create,VpsAdmin::API::Resources::DnsResolver::Create,HaveAPI::Actions::Default::Create,,True,admin_only,,,,api/lib/vpsadmin/api/resources/dns_resolver.rb,95,118
VpsAdmin::API::Resources::DnsResolver,Delete,VpsAdmin::API::Resources::DnsResolver::Delete,HaveAPI::Actions::Default::Delete,,True,admin_only,,True,,api/lib/vpsadmin/api/resources/dns_resolver.rb,148,173
VpsAdmin::API::Resources::DnsResolver,Index,VpsAdmin::API::Resources::DnsResolver::Index,HaveAPI::Actions::Default::Index,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dns_resolver.rb,24,73
VpsAdmin::API::Resources::DnsResolver,Show,VpsAdmin::API::Resources::DnsResolver::Show,HaveAPI::Actions::Default::Show,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dns_resolver.rb,75,93
VpsAdmin::API::Resources::DnsResolver,Update,VpsAdmin::API::Resources::DnsResolver::Update,HaveAPI::Actions::Default::Update,,True,admin_only,,True,,api/lib/vpsadmin/api/resources/dns_resolver.rb,120,146
VpsAdmin::API::Resources::DnsServer,Create,VpsAdmin::API::Resources::DnsServer::Create,HaveAPI::Actions::Default::Create,,True,admin_only,,,,api/lib/vpsadmin/api/resources/dns_server.rb,71,93
VpsAdmin::API::Resources::DnsServer,Delete,VpsAdmin::API::Resources::DnsServer::Delete,HaveAPI::Actions::Default::Delete,,True,admin_only,,,,api/lib/vpsadmin/api/resources/dns_server.rb,117,134
VpsAdmin::API::Resources::DnsServer,Index,VpsAdmin::API::Resources::DnsServer::Index,HaveAPI::Actions::Default::Index,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dns_server.rb,23,47
